ID,gds,title,description,type,pubmed_id,gpl,platform_organism,platform_technology_type,feature_count,sample_organism,sample_type,channel_count,sample_count,value_type,gse,order,update_date,
51,GDS94,Transcriptional regulation (II)(dye-swap),Genetic linkage analysis of global expression levels in a cross between two budding yeast strains. Identification of cis-acting and trans-acting loci that modulate a total of 570 genes.,Expression profiling by array,11923494,GPL118,Saccharomyces cerevisiae,spotted DNA/cDNA,7085,Saccharomyces cerevisiae,RNA,2,11,log ratio,GSE38,none,4/1/03,
52,GDS95,Tryptophan metabolism (ecoli_3.0),Analysis of changes in gene expression elicited by perturbations of tryptophan metabolism using strains with mutations that affect tryptophan metabolism.,Expression profiling by array,11027315,GPL16,Escherichia coli,spotted DNA/cDNA,5760,Escherichia coli,RNA,2,9,log ratio,GSE7,none,7/23/03,
53,GDS96,Tryptophan metabolism (ecoli_4.3),Analysis of changes in gene expression elicited by perturbations of tryptophan metabolism using strains with mutations that affect tryptophan metabolism.,Expression profiling by array,11027315,GPL17,Escherichia coli,spotted DNA/cDNA,4896,Escherichia coli,RNA,2,9,log ratio,GSE7,none,7/17/03,
54,GDS99,UV exposure time course (ecoli_4.3),Time course of UV-responsive genes and their role in cellular recovery. MG1655 wild type strains analyzed.,Expression profiling by array,11333217,GPL17,Escherichia coli,spotted DNA/cDNA,4896,Escherichia coli,RNA,2,7,log ratio,GSE9,none,4/6/03,
55,GDS100,UV exposure time course (ecoli_8.0),Time course of UV-responsive genes and their role in cellular recovery. lexA SOS-deficient strains analyzed.,Expression profiling by array,11333217,GPL18,Escherichia coli,spotted DNA/cDNA,5764,Escherichia coli,RNA,2,8,log ratio,GSE9,none,4/6/03,
56,GDS104,Sporulation time course,"Temporal analysis of the developmental program of sporulation, which consists of meiosis and spore morphogenesis. Seven distinct temporal patterns of induction are observed. Samples recovered at several time points up to 11 hours.",Expression profiling by array,9784122,GPL67,Saccharomyces cerevisiae,spotted DNA/cDNA,6384,Saccharomyces cerevisiae,RNA,2,7,log ratio,GSE27,ordered,4/6/03,
57,GDS105,Snf/Swi mutants (v1_2.2),Whole-genome expression analysis of mutants deleted for a gene encoding one conserved (Snf2) or one unconserved (Swi1) Snf/Swi component.  The Snf/Swi complex controls transcription and chromatin structure.,Expression profiling by array,10725359,GPL67,Saccharomyces cerevisiae,spotted DNA/cDNA,6384,Saccharomyces cerevisiae,RNA,2,2,log ratio,GSE21,none,4/1/03,
58,GDS106,Snf/Swi mutants (384_F_v1.0),Whole-genome expression analysis of mutants deleted for a gene encoding one conserved (Snf2) or one unconserved (Swi1) Snf/Swi component.  The Snf/Swi complex controls transcription and chromatin structure.,Expression profiling by array,10725359,GPL65,Saccharomyces cerevisiae,spotted DNA/cDNA,8832,Saccharomyces cerevisiae,RNA,2,8,log ratio,GSE21,none,3/25/03,
59,GDS108,Menadione exposure time course,Superoxide-generating drug menadione bisulphate (1 mM) added to culture and samples removed at several time points up to 160 minutes. Included as part of a detailed characterization of global expression programs triggered by environmental stress.,Expression profiling by array,11102521,GPL64,Saccharomyces cerevisiae,spotted DNA/cDNA,8832,Saccharomyces cerevisiae,RNA,2,9,log ratio,GSE18,ordered,4/6/03,
60,GDS110,Cyclin overexpression,Cells arrested in G1 for CLN3 overexpression. Included as part of a comprehensive identification of cell cycle-regulated genes.,Expression profiling by array,9843569,GPL61,Saccharomyces cerevisiae,spotted DNA/cDNA,7744,Saccharomyces cerevisiae,RNA,2,2,log ratio,GSE25,ordered,4/6/03,
61,GDS111,Steady-state temperature (y14),"Samples collected from cells grown continuously at 15°C, 17°C, 21°C, 25°C, 29°C, 33°C and 36°C. Included as part of a detailed characterization of global expression programs triggered by stress.",Expression profiling by array,11102521,GPL54,Saccharomyces cerevisiae,spotted DNA/cDNA,9216,Saccharomyces cerevisiae,RNA,2,8,log ratio,GSE18,ordered,11/3/05,
62,GDS112,Heat shock from 30°C to 37°C time course,"Cultures shifted from 30°C to 37°C and samples collected at 0, 5, 15, 30 and 60 minutes. Included as part of a detailed characterization of global expression programs triggered by environmental stress.",Expression profiling by array,11102521,GPL54,Saccharomyces cerevisiae,spotted DNA/cDNA,9216,Saccharomyces cerevisiae,RNA,2,5,log ratio,GSE18,ordered,11/3/05,
63,GDS113,Dithiothrietol exposure time course (y14),2.5 mM dithiothrietol (DTT) added to culture and samples collected at several time points up to 480 minutes. Included as part of a detailed characterization of global expression programs triggered by environmental stress.,Expression profiling by array,11102521,GPL54,Saccharomyces cerevisiae,spotted DNA/cDNA,9216,Saccharomyces cerevisiae,RNA,2,7,log ratio,GSE18,ordered,4/6/03,
64,GDS115,Amino acid and adenine starvation time course,"Cells grown in minimal medium lacking amino acids and adenine. Samples taken at 0, 0.5, 1, 2, 4 and 6 hours. Included as part of a detailed characterization of global expression programs triggered by environmental stress.",Expression profiling by array,11102521,GPL54,Saccharomyces cerevisiae,spotted DNA/cDNA,9216,Saccharomyces cerevisiae,RNA,2,5,log ratio,GSE18,ordered,4/6/03,
65,GDS135,Diurnal and circadian-regulated genes (II),Analysis of plant molecular response to day/night cycling. Samples taken at 6 hour intervals throughout the day. Identification of genes that cycle with either a diurnal or a circadian pattern.,Expression profiling by array,11158533,GPL13,Arabidopsis thaliana,spotted DNA/cDNA,12800,Arabidopsis thaliana,RNA,2,5,log ratio,GSE4,ordered,4/6/03,
66,GDS136,SBF-MBF genomic distribution (ORF_intergenic_v1.0) (I),Identification of genomic binding sites of the sequence-specific transcription factors SBF and MBF. Provides understanding of the parallel but distinct functions of SBF and MBF in the mitotic cell cycle.,Expression profiling by array,11206552,GPL49,Saccharomyces cerevisiae,spotted DNA/cDNA,16128,Saccharomyces cerevisiae,RNA,2,2,log ratio,GSE19,none,4/8/03,
67,GDS137,SBF-MBF genomic distribution (ORF_intergenic_v1.0) (II),Identification of genomic binding sites of the sequence-specific transcription factors SBF and MBF. Provides understanding of the parallel but distinct functions of SBF and MBF in the mitotic cell cycle.,Expression profiling by array,11206552,GPL49,Saccharomyces cerevisiae,spotted DNA/cDNA,16128,Saccharomyces cerevisiae,RNA,2,2,log ratio,GSE19,none,4/6/03,
68,GDS138,SBF-MBF genomic distribution (intergenic_v1.0) (I),Identification of genomic binding sites of the sequence-specific transcription factors SBF and MBF. Provides understanding of the parallel but distinct functions of SBF and MBF in the mitotic cell cycle.,Expression profiling by array,11206552,GPL50,Saccharomyces cerevisiae,spotted DNA/cDNA,7680,Saccharomyces cerevisiae,RNA,2,6,log ratio,GSE19,none,4/6/03,
69,GDS139,SBF-MBF genomic distribution (intergenic_v1.0) (II),Identification of genomic binding sites of the sequence-specific transcription factors SBF and MBF. Provides understanding of the parallel but distinct functions of SBF and MBF in the mitotic cell cycle.,Expression profiling by array,11206552,GPL50,Saccharomyces cerevisiae,spotted DNA/cDNA,7680,Saccharomyces cerevisiae,RNA,2,5,log ratio,GSE19,none,4/1/03,
70,GDS144,"Cardiac hypertrophy, exercise-induced",Effects of chronic conditioning by swimming which increases left ventricular mass and induces myocyte hypertrophy. 8 week old FVB mice swum in tanks 7 days a week for 4 weeks. Animals sacrificed at several time points up to 28 days.,Expression profiling by array,,GPL81,Mus musculus,in situ oligonucleotide,12488,Mus musculus,RNA,1,30,count,GSE77,none,4/6/03,
71,GDS145,Serum stimulation with cycloheximide time course,"Analysis of the transcriptional program in the response of human fibroblasts to serum. Serum added to fibroblasts in the presence of cycloheximide and samples taken at 0, 0.5, 2 and 4 hours.",Expression profiling by array,9872747,GPL169,Homo sapiens,spotted DNA/cDNA,9984,Homo sapiens,RNA,2,4,log ratio,GSE56,ordered,6/23/03,
72,GDS156,Muscle function and aging (HG-U95A),Comparison of gene expression in vastus lateralis skeletal muscle biopsies in healthy young (21-31 year old) and older (62-77 year old) men. Sample RNAs isolated from individuals and pooled into groups of 8.,Expression profiling by array,12204100,GPL91,Homo sapiens,in situ oligonucleotide,12626,Homo sapiens,RNA,1,12,count,GSE80,ordered,4/17/03,
73,GDS157,Type 2 diabetes and insulin resistance (HuGeneFL),"Analysis of gene expression in pooled vastus lateralis muscle samples from insulin-sensitive and insulin-resistant equally obese, non-diabetic Pima Indians. A search for susceptibility genes for type 2 diabetes.",Expression profiling by array,12436343,GPL80,Homo sapiens,in situ oligonucleotide,7129,Homo sapiens,RNA,1,10,count,GSE121,none,3/25/03,
74,GDS158,Type 2 diabetes and insulin resistance (Hu35k-A),"Analysis of gene expression in pooled vastus lateralis muscle samples from insulin-sensitive and insulin-resistant equally obese, non-diabetic Pima Indians. A search for susceptibility genes for type 2 diabetes.",Expression profiling by array,12436343,GPL98,Homo sapiens,in situ oligonucleotide,8934,Homo sapiens,RNA,1,10,count,GSE121,none,3/25/03,
75,GDS160,Type 2 diabetes and insulin resistance (Hu35k-B),"Analysis of gene expression in pooled vastus lateralis muscle samples from insulin-sensitive and insulin-resistant equally obese, non-diabetic Pima Indians. A search for susceptibility genes for type 2 diabetes.",Expression profiling by array,12436343,GPL99,Homo sapiens,in situ oligonucleotide,8924,Homo sapiens,RNA,1,10,count,GSE121,none,3/25/03,
76,GDS161,Type 2 diabetes and insulin resistance (Hu35k-C),"Analysis of gene expression in pooled vastus lateralis muscle samples from insulin-sensitive and insulin-resistant equally obese, non-diabetic Pima Indians. A search for susceptibility genes for type 2 diabetes.",Expression profiling by array,12436343,GPL100,Homo sapiens,in situ oligonucleotide,8928,Homo sapiens,RNA,1,10,count,GSE121,none,3/25/03,
77,GDS162,Type 2 diabetes and insulin resistance (Hu35k-D),"Analysis of gene expression in pooled vastus lateralis muscle samples from insulin-sensitive and insulin-resistant equally obese, non-diabetic Pima Indians. A search for susceptibility genes for type 2 diabetes.",Expression profiling by array,12436343,GPL101,Homo sapiens,in situ oligonucleotide,8928,Homo sapiens,RNA,1,10,count,GSE121,none,3/25/03,
78,GDS164,Shock and adaptive response to injury,C57/B6 mice subjected either to sham laparotomy or cecal ligation and puncture (CLP) and spleen samples taken 24 hours post surgery. Effort to increase understanding of shock and the adaptive response to injury at the level of the entire genome.,Expression profiling by array,12483063,GPL207,Mus musculus,spotted DNA/cDNA,597,Mus musculus,RNA,1,6,count,GSE510,none,3/22/04,
79,GDS167,Autoimmune disease mechanisms,"Examination of medullary thymic epithelial cells from aire-deficient mice. aire is autoimmune regulator gene. Aim to understand autoimmune disease mechanisms, esp.  autoimmune polyendocrinopathy candidiasis ectodermal dystrophy (APECED).",Expression profiling by array,12376594,GPL81,Mus musculus,in situ oligonucleotide,12488,Mus musculus,RNA,1,6,count,GSE85,none,8/22/03,
