ID,Name,gds,description,sample_id,type
72.0,GDS23_3,GDS23,wildtype,GSM1359,strain
,,GDS23,,GSM1360,
,,GDS23,,GSM1361,
,,GDS23,,GSM1362,
,,GDS23,,GSM1363,
,,GDS23,,GSM1364,
,,GDS23,,GSM1365,
,,GDS23,,GSM1366,
73.0,GDS23_4,GDS23,control,GSM1359,shock
,,GDS23,,GSM1360,
,,GDS23,,GSM1361,
,,GDS23,,GSM1362,
,,GDS23,,GSM1363,
74.0,GDS23_5,GDS23,heat shock,GSM1351,shock
,,GDS23,,GSM1352,
,,GDS23,,GSM1353,
,,GDS23,,GSM1354,
,,GDS23,,GSM1355,
,,GDS23,,GSM1356,
,,GDS23,,GSM1357,
,,GDS23,,GSM1358,
,,GDS23,,GSM1364,
,,GDS23,,GSM1365,
,,GDS23,,GSM1366,
75.0,GDS26_1,GDS26,YPA,GSM1680,growth protocol
,,GDS26,,GSM1763,
,,GDS26,,GSM1761,
,,GDS26,,GSM1765,
76.0,GDS26_2,GDS26,YPD,GSM1760,growth protocol
,,GDS26,,GSM1764,
,,GDS26,,GSM1762,
,,GDS26,,GSM1766,
77.0,GDS26_3,GDS26,SK1 ume6 diploid,GSM1680,strain
,,GDS26,,GSM1760,
78.0,GDS26_4,GDS26,SK1 wildtype,GSM1761,strain
,,GDS26,,GSM1762,
79.0,GDS26_5,GDS26,W303 ume6 diploid,GSM1763,strain
,,GDS26,,GSM1764,
80.0,GDS26_6,GDS26,W303 wildtype,GSM1765,strain
,,GDS26,,GSM1766,
81.0,GDS30_1,GDS30,5 minute,GSM971,time
82.0,GDS30_2,GDS30,10 minute,GSM1057,time
83.0,GDS30_3,GDS30,20 minute,GSM1058,time
84.0,GDS30_4,GDS30,30 minute,GSM1059,time
85.0,GDS30_5,GDS30,40 minute,GSM1060,time
86.0,GDS30_6,GDS30,50 minute,GSM1061,time
87.0,GDS30_7,GDS30,60 minute,GSM1063,time
88.0,GDS30_8,GDS30,90 minute,GSM1064,time
89.0,GDS31_1,GDS31,5 minute,GSM961,time
90.0,GDS31_2,GDS31,15 minute,GSM962,time
91.0,GDS31_3,GDS31,30 minute,GSM963,time
92.0,GDS31_4,GDS31,45 minute,GSM964,time
93.0,GDS31_5,GDS31,60 minute,GSM965,time
94.0,GDS31_6,GDS31,90 minute,GSM966,time
95.0,GDS31_7,GDS31,120 minute,GSM967,time
96.0,GDS31_8,GDS31,180 minute,GSM968,time
97.0,GDS33_1,GDS33,5 minute,GSM908,time
98.0,GDS33_2,GDS33,15 minute,GSM913,time
99.0,GDS33_3,GDS33,30 minute,GSM914,time
100.0,GDS33_4,GDS33,45 minute,GSM915,time
101.0,GDS33_5,GDS33,60 minute,GSM916,time
102.0,GDS34_1,GDS34,15 minute,GSM1019,time
103.0,GDS34_2,GDS34,30 minute,GSM1020,time
104.0,GDS34_3,GDS34,45 minute,GSM1021,time
105.0,GDS34_4,GDS34,60 minute,GSM1022,time
106.0,GDS34_5,GDS34,90 minute,GSM1023,time
107.0,GDS35_1,GDS35,sorbitol,GSM934,agent
,,GDS35,,GSM935,
,,GDS35,,GSM936,
108.0,GDS35_2,GDS35,no sorbitol,GSM937,agent
,,GDS35,,GSM1024,
,,GDS35,,GSM1025,
109.0,GDS35_3,GDS35,5 minute,GSM934,time
,,GDS35,,GSM1025,
110.0,GDS35_4,GDS35,15 minute,GSM935,time
,,GDS35,,GSM937,
111.0,GDS35_5,GDS35,30 minute,GSM936,time
,,GDS35,,GSM1024,
112.0,GDS36_1,GDS36,5 minute,GSM918,time
113.0,GDS36_2,GDS36,15 minute,GSM919,time
114.0,GDS36_3,GDS36,30 minute,GSM932,time
115.0,GDS36_4,GDS36,90 minute,GSM933,time
116.0,GDS37_1,GDS37,0 hour,GSM888,time
117.0,GDS37_2,GDS37,9.5 hour,GSM890,time
118.0,GDS37_3,GDS37,11.5 hour,GSM891,time
119.0,GDS37_4,GDS37,13.5 hour,GSM892,time
120.0,GDS37_5,GDS37,15.5 hour,GSM887,time
121.0,GDS37_6,GDS37,18.5 hour,GSM889,time
122.0,GDS37_7,GDS37,20.5 hour,GSM893,time
123.0,GDS38_1,GDS38,7 min interval #13,GSM980,time
124.0,GDS38_2,GDS38,7 min interval #14,GSM863,time
125.0,GDS38_3,GDS38,7 min interval #15,GSM921,time
126.0,GDS38_4,GDS38,7 min interval #16,GSM920,time
127.0,GDS38_5,GDS38,7 min interval #17,GSM988,time
128.0,GDS38_6,GDS38,7 min interval #18,GSM922,time
129.0,GDS38_7,GDS38,7 min interval #19,GSM989,time
130.0,GDS38_8,GDS38,7 min interval #20,GSM858,time
131.0,GDS38_9,GDS38,7 min interval #21,GSM902,time
132.0,GDS38_10,GDS38,7 min interval #22,GSM931,time
133.0,GDS38_11,GDS38,7 min interval #23,GSM861,time
134.0,GDS38_12,GDS38,7 min interval #25,GSM862,time
135.0,GDS38_13,GDS38,7 min interval #27,GSM923,time
136.0,GDS38_14,GDS38,7 min interval #28,GSM860,time
137.0,GDS38_15,GDS38,7 min interval #29,GSM924,time
138.0,GDS38_16,GDS38,7 min interval #30,GSM859,time
139.0,GDS39_1,GDS39,5.5 hour,GSM903,time
140.0,GDS39_2,GDS39,6 hour,GSM906,time
141.0,GDS39_3,GDS39,1 hour,GSM910,time
142.0,GDS39_4,GDS39,0 hour,GSM940,time
143.0,GDS39_5,GDS39,0.5 hour,GSM942,time
144.0,GDS39_6,GDS39,1.5 hour,GSM969,time
145.0,GDS39_7,GDS39,2 hour,GSM970,time
146.0,GDS39_8,GDS39,2.5 hour,GSM973,time
147.0,GDS39_9,GDS39,3 hour,GSM974,time
148.0,GDS39_10,GDS39,3.5 hour,GSM975,time
149.0,GDS39_11,GDS39,4 hour,GSM976,time
150.0,GDS39_12,GDS39,5 hour,GSM977,time
151.0,GDS39_13,GDS39,4.5 hour,GSM984,time
152.0,GDS39_14,GDS39,6.5 hour,GSM985,time
153.0,GDS40_1,GDS40,embryo day 12.5,GSM2189,development stage
,,GDS40,,GSM2190,
,,GDS40,,GSM2191,
154.0,GDS40_2,GDS40,neonatal day 1,GSM2192,development stage
,,GDS40,,GSM2193,
,,GDS40,,GSM2194,
155.0,GDS40_3,GDS40,1 week,GSM2088,development stage
,,GDS40,,GSM2178,
,,GDS40,,GSM2179,
156.0,GDS40_4,GDS40,4 week,GSM2183,development stage
,,GDS40,,GSM2184,
,,GDS40,,GSM2185,
157.0,GDS40_5,GDS40,3 month,GSM2334,development stage
,,GDS40,,GSM2335,
,,GDS40,,GSM2336,
158.0,GDS40_6,GDS40,5 month,GSM2186,development stage
,,GDS40,,GSM2187,
,,GDS40,,GSM2188,
159.0,GDS40_7,GDS40,12 month,GSM2180,development stage
,,GDS40,,GSM2181,
,,GDS40,,GSM2182,
,,GDS40,,GSM2337,
,,GDS40,,GSM2338,
,,GDS40,,GSM2339,
160.0,GDS40_8,GDS40,male,GSM2180,gender
,,GDS40,,GSM2181,
,,GDS40,,GSM2182,
,,GDS40,,GSM2186,
,,GDS40,,GSM2187,
,,GDS40,,GSM2188,
161.0,GDS40_9,GDS40,female,GSM2334,gender
,,GDS40,,GSM2335,
,,GDS40,,GSM2336,
,,GDS40,,GSM2337,
,,GDS40,,GSM2338,
,,GDS40,,GSM2339,
162.0,GDS40_10,GDS40,mix,GSM2189,gender
,,GDS40,,GSM2190,
,,GDS40,,GSM2191,
,,GDS40,,GSM2192,
,,GDS40,,GSM2193,
,,GDS40,,GSM2194,
,,GDS40,,GSM2088,
,,GDS40,,GSM2178,
,,GDS40,,GSM2179,
,,GDS40,,GSM2183,
,,GDS40,,GSM2184,
,,GDS40,,GSM2185,
163.0,GDS45_1,GDS45,0 day,GSM1517,time
,,GDS45,,GSM1529,
164.0,GDS45_2,GDS45,1 day,GSM1518,time
165.0,GDS45_3,GDS45,2 day,GSM1519,time
,,GDS45,,GSM1530,
166.0,GDS45_4,GDS45,3 day,GSM1520,time
167.0,GDS45_5,GDS45,4 day,GSM1521,time
,,GDS45,,GSM1531,
168.0,GDS45_6,GDS45,5 day,GSM1522,time
169.0,GDS45_7,GDS45,6 day,GSM1523,time
170.0,GDS45_8,GDS45,7 day,GSM1524,time
171.0,GDS45_9,GDS45,8 day,GSM1525,time
172.0,GDS45_10,GDS45,9 day,GSM1526,time
,,GDS45,,GSM1532,
173.0,GDS45_11,GDS45,11 day,GSM1527,time
174.0,GDS45_12,GDS45,14 day,GSM1528,time
175.0,GDS46_1,GDS46,E2F1 expressing adenovirus,GSM820,protocol
,,GDS46,,GSM823,
176.0,GDS46_2,GDS46,control,GSM821,protocol
,,GDS46,,GSM822,
177.0,GDS47_1,GDS47,2 month,GSM1742,age
,,GDS47,,GSM1744,
,,GDS47,,GSM1752,
,,GDS47,,GSM1754,
178.0,GDS47_2,GDS47,5 month,GSM1746,age
,,GDS47,,GSM1748,
,,GDS47,,GSM1750,
,,GDS47,,GSM1756,
,,GDS47,,GSM1758,
179.0,GDS47_3,GDS47,CF-1 LHCTP transgenic,GSM1744,strain
,,GDS47,,GSM1748,
,,GDS47,,GSM1750,
180.0,GDS47_4,GDS47,CF-1 wild type,GSM1742,strain
,,GDS47,,GSM1746,
181.0,GDS47_5,GDS47,CF/B6 LHCTP transgenic,GSM1754,strain
,,GDS47,,GSM1758,
182.0,GDS47_6,GDS47,CF/B6 wild type,GSM1752,strain
,,GDS47,,GSM1756,
183.0,GDS48_1,GDS48,2 month,GSM1743,age
,,GDS48,,GSM1745,
,,GDS48,,GSM1753,
,,GDS48,,GSM1755,
184.0,GDS48_2,GDS48,5 month,GSM1747,age
,,GDS48,,GSM1749,
,,GDS48,,GSM1751,
,,GDS48,,GSM1757,
,,GDS48,,GSM1759,
185.0,GDS48_3,GDS48,CF-1 LHCTP transgenic,GSM1745,strain
,,GDS48,,GSM1749,
,,GDS48,,GSM1751,
186.0,GDS48_4,GDS48,CF-1 wild type,GSM1743,strain
,,GDS48,,GSM1747,
187.0,GDS48_5,GDS48,CF/B6 LHCTP transgenic,GSM1755,strain
,,GDS48,,GSM1759,
188.0,GDS48_6,GDS48,CF/B6 wild type,GSM1753,strain
,,GDS48,,GSM1757,
189.0,GDS49_1,GDS49,wildtype,GSM2266,strain
,,GDS49,,GSM2267,
,,GDS49,,GSM2268,
190.0,GDS49_2,GDS49,Csx/Nkx2.5 heterozygous,GSM2269,strain
,,GDS49,,GSM2270,
,,GDS49,,GSM2273,
191.0,GDS49_3,GDS49,Csx/Nkx2.5 homozygous,GSM2271,strain
,,GDS49,,GSM2272,
,,GDS49,,GSM2274,
192.0,GDS50_1,GDS50,wildtype,GSM2281,strain
,,GDS50,,GSM2282,
,,GDS50,,GSM2283,
193.0,GDS50_2,GDS50,Csx/Nkx2.5 heterozygous,GSM2278,strain
,,GDS50,,GSM2279,
,,GDS50,,GSM2280,
194.0,GDS50_3,GDS50,Csx/Nkx2.5 homozygous,GSM2275,strain
,,GDS50,,GSM2276,
,,GDS50,,GSM2277,
195.0,GDS51_1,GDS51,0 day,GSM1533,time
,,GDS51,,GSM1545,
196.0,GDS51_2,GDS51,1 day,GSM1534,time
197.0,GDS51_3,GDS51,2 day,GSM1535,time
,,GDS51,,GSM1546,
198.0,GDS51_4,GDS51,3 day,GSM1536,time
199.0,GDS51_5,GDS51,4 day,GSM1537,time
,,GDS51,,GSM1547,
200.0,GDS51_6,GDS51,5 day,GSM1538,time
201.0,GDS51_7,GDS51,6 day,GSM1539,time
202.0,GDS51_8,GDS51,7 day,GSM1540,time
203.0,GDS51_9,GDS51,8 day,GSM1541,time
204.0,GDS51_10,GDS51,9 day,GSM1542,time
,,GDS51,,GSM1548,
205.0,GDS51_11,GDS51,11 day,GSM1543,time
206.0,GDS51_12,GDS51,14 day,GSM1544,time
207.0,GDS52_1,GDS52,pre-BI cells,GSM653,cell type
,,GDS52,,GSM654,
,,GDS52,,GSM655,
,,GDS52,,GSM656,
,,GDS52,,GSM657,
,,GDS52,,GSM658,
208.0,GDS52_2,GDS52,immature B cells,GSM637,cell type
,,GDS52,,GSM638,
,,GDS52,,GSM639,
,,GDS52,,GSM640,
,,GDS52,,GSM641,
209.0,GDS52_3,GDS52,small pre-BII cells,GSM659,cell type
,,GDS52,,GSM660,
,,GDS52,,GSM661,
,,GDS52,,GSM662,
,,GDS52,,GSM663,
210.0,GDS52_4,GDS52,mature B cells,GSM647,cell type
,,GDS52,,GSM648,
,,GDS52,,GSM649,
,,GDS52,,GSM650,
,,GDS52,,GSM651,
,,GDS52,,GSM652,
211.0,GDS52_5,GDS52,large pre-BII cells,GSM642,cell type
,,GDS52,,GSM643,
,,GDS52,,GSM644,
,,GDS52,,GSM645,
,,GDS52,,GSM646,
212.0,GDS53_1,GDS53,CD34+ from bone marrow,GSM575,cell type
,,GDS53,,GSM576,
,,GDS53,,GSM577,
213.0,GDS53_2,GDS53,CD34+ from G-CSF-mobilized peripheral blood,GSM578,cell type
,,GDS53,,GSM579,
214.0,GDS56_1,GDS56,allergen,GSM1275,agent
215.0,GDS56_2,GDS56,control,GSM1233,agent
,,GDS56,,GSM1239,
,,GDS56,,GSM1245,
,,GDS56,,GSM1251,
216.0,GDS56_3,GDS56,72 hour,GSM1245,time
,,GDS56,,GSM1251,
,,GDS56,,GSM1275,
217.0,GDS56_4,GDS56,24 hour,GSM1233,time
,,GDS56,,GSM1239,
218.0,GDS58_1,GDS58,allergen,GSM1271,agent
,,GDS58,,GSM1277,
219.0,GDS58_2,GDS58,control,GSM1235,agent
,,GDS58,,GSM1241,
,,GDS58,,GSM1247,
,,GDS58,,GSM1253,
220.0,GDS58_3,GDS58,24 hour,GSM1235,time
,,GDS58,,GSM1241,
221.0,GDS58_4,GDS58,72 hour,GSM1271,time
,,GDS58,,GSM1277,
,,GDS58,,GSM1247,
,,GDS58,,GSM1253,
222.0,GDS59_1,GDS59,normoxic,GSM1227,protocol
,,GDS59,,GSM1230,
223.0,GDS59_2,GDS59,hypoxic,GSM4172,protocol
,,GDS59,,GSM4175,
,,GDS59,,GSM4178,
,,GDS59,,GSM4181,
,,GDS59,,GSM1216,
,,GDS59,,GSM1219,
,,GDS59,,GSM1222,
,,GDS59,,GSM1225,
224.0,GDS59_3,GDS59,0 hour,GSM1227,time
,,GDS59,,GSM1230,
225.0,GDS59_4,GDS59,10 hour,GSM1216,time
,,GDS59,,GSM1219,
226.0,GDS59_5,GDS59,2 day,GSM4172,time
,,GDS59,,GSM4175,
227.0,GDS59_6,GDS59,4 day,GSM1222,time
,,GDS59,,GSM1225,
228.0,GDS59_7,GDS59,6 day,GSM4178,time
,,GDS59,,GSM4181,
229.0,GDS60_1,GDS60,allergen,GSM1267,agent
,,GDS60,,GSM1273,
,,GDS60,,GSM1279,
230.0,GDS60_2,GDS60,control,GSM1237,agent
,,GDS60,,GSM1243,
,,GDS60,,GSM1249,
,,GDS60,,GSM1255,
231.0,GDS60_3,GDS60,24 hour,GSM1237,time
,,GDS60,,GSM1243,
,,GDS60,,GSM1267,
232.0,GDS60_4,GDS60,72 hour,GSM1249,time
,,GDS60,,GSM1255,
,,GDS60,,GSM1273,
,,GDS60,,GSM1279,
233.0,GDS61_1,GDS61,10 hour,GSM1217,time
,,GDS61,,GSM1220,
234.0,GDS61_2,GDS61,2 day,GSM4173,time
,,GDS61,,GSM4176,
235.0,GDS61_3,GDS61,4 day,GSM1223,time
,,GDS61,,GSM1226,
236.0,GDS61_4,GDS61,6 day,GSM4179,time
,,GDS61,,GSM4182,
237.0,GDS61_5,GDS61,normoxic,GSM1228,protocol
,,GDS61,,GSM1231,
238.0,GDS61_6,GDS61,hypoxic,GSM1217,protocol
,,GDS61,,GSM1220,
,,GDS61,,GSM4173,
,,GDS61,,GSM4176,
,,GDS61,,GSM1223,
,,GDS61,,GSM1226,
,,GDS61,,GSM4179,
,,GDS61,,GSM4182,
239.0,GDS61_7,GDS61,0 hour,GSM1228,time
,,GDS61,,GSM1231,
240.0,GDS62_1,GDS62,female,GSM1179,gender
,,GDS62,,GSM1180,
,,GDS62,,GSM1183,
,,GDS62,,GSM1184,
,,GDS62,,GSM1187,
,,GDS62,,GSM1188,
241.0,GDS62_2,GDS62,male,GSM1181,gender
,,GDS62,,GSM1182,
,,GDS62,,GSM1185,
,,GDS62,,GSM1186,
,,GDS62,,GSM1189,
,,GDS62,,GSM1190,
242.0,GDS62_3,GDS62,noninfected,GSM1179,infection
,,GDS62,,GSM1180,
,,GDS62,,GSM1181,
,,GDS62,,GSM1182,
243.0,GDS62_4,GDS62,15 days post-infection,GSM1183,infection
,,GDS62,,GSM1184,
,,GDS62,,GSM1185,
,,GDS62,,GSM1186,
244.0,GDS62_5,GDS62,40 days post-infection,GSM1187,infection
,,GDS62,,GSM1188,
,,GDS62,,GSM1189,
,,GDS62,,GSM1190,
245.0,GDS63_1,GDS63,0 h,GSM1337,time
,,GDS63,,GSM1338,
246.0,GDS63_2,GDS63,0.5 h,GSM1323,time
,,GDS63,,GSM1324,
,,GDS63,,GSM1332,
,,GDS63,,GSM1333,
,,GDS63,,GSM4418,
,,GDS63,,GSM31230,
247.0,GDS63_3,GDS63,4 h,GSM1334,time
,,GDS63,,GSM4419,
,,GDS63,,GSM4420,
,,GDS63,,GSM4421,
,,GDS63,,GSM4422,
,,GDS63,,GSM7578,
,,GDS63,,GSM7581,
,,GDS63,,GSM7584,
,,GDS63,,GSM7587,
,,GDS63,,GSM31264,
,,GDS63,,GSM31270,
,,GDS63,,GSM31558,
,,GDS63,,GSM31563,
,,GDS63,,GSM31568,
,,GDS63,,GSM31572,
248.0,GDS63_4,GDS63,0.5 d,GSM31513,time
,,GDS63,,GSM31515,
,,GDS63,,GSM31521,
,,GDS63,,GSM31522,
249.0,GDS63_5,GDS63,1 d,GSM1136,time
,,GDS63,,GSM1137,
,,GDS63,,GSM1330,
,,GDS63,,GSM4477,
,,GDS63,,GSM7566,
,,GDS63,,GSM7569,
,,GDS63,,GSM7572,
,,GDS63,,GSM7575,
,,GDS63,,GSM31250,
,,GDS63,,GSM31254,
,,GDS63,,GSM31533,
,,GDS63,,GSM31536,
,,GDS63,,GSM31665,
,,GDS63,,GSM31666,
,,GDS63,,GSM31205,
250.0,GDS63_6,GDS63,2 d,GSM31267,time
,,GDS63,,GSM31268,
,,GDS63,,GSM31550,
,,GDS63,,GSM31551,
,,GDS63,,GSM31557,
,,GDS63,,GSM31561,
251.0,GDS63_7,GDS63,3 d,GSM31194,time
,,GDS63,,GSM31509,
,,GDS63,,GSM31574,
,,GDS63,,GSM31577,
,,GDS63,,GSM31580,
252.0,GDS63_8,GDS63,7 d,GSM1326,time
,,GDS63,,GSM1327,
,,GDS63,,GSM1328,
,,GDS63,,GSM1329,
,,GDS63,,GSM1335,
,,GDS63,,GSM1336,
,,GDS63,,GSM7590,
,,GDS63,,GSM7593,
,,GDS63,,GSM7596,
,,GDS63,,GSM7599,
,,GDS63,,GSM31582,
,,GDS63,,GSM31584,
,,GDS63,,GSM31595,
,,GDS63,,GSM31597,
253.0,GDS63_9,GDS63,14 d,GSM31196,time
,,GDS63,,GSM31197,
,,GDS63,,GSM31253,
,,GDS63,,GSM31258,
,,GDS63,,GSM31599,
,,GDS63,,GSM31616,
,,GDS63,,GSM31299,
,,GDS63,,GSM31598,
254.0,GDS63_10,GDS63,21 d,GSM31524,time
255.0,GDS63_11,GDS63,28 d,GSM31225,time
,,GDS63,,GSM31226,
,,GDS63,,GSM31229,
,,GDS63,,GSM31263,
,,GDS63,,GSM31269,
,,GDS63,,GSM31538,
,,GDS63,,GSM31539,
,,GDS63,,GSM31541,
,,GDS63,,GSM31542,
,,GDS63,,GSM31603,
,,GDS63,,GSM31604,
,,GDS63,,GSM31610,
